COD,HA
946,25.91
947,4.09
948,13.6
949,43.69
950,10.89
951,7.92
952,42.52
953,4.33
954,2.1399999999999997
955,7.18
956,2.8
957,7.02
958,20.94
959,2.5700000000000003
960,18.59
961,13.31
962,1003.54
963,1.72
964,8.64
965,5.14
966,12.95
967,12.34
968,2.17
969,14.91
970,11.06
971,8.65
972,15.91
973,1.03
974,15.37
975,1.97
976,15.23
977,2.83
978,1.11
979,56.63
980,26.26
981,6.79
982,9.83
983,25.73
984,21.87
985,13.96
986,30.62
987,17.73
988,22.92
989,2.4299999999999997
990,2.8899999999999997
991,24.12
992,5.03
993,12.69
994,48.52
995,4.779999999999999
996,4.8100000000000005
997,22.28
998,30.59
999,32.89
1000,29.73
1001,10.81
1002,36.95
1003,8.29
1004,59.0
1005,9.37
1006,23.93
1007,8.370000000000001
1008,12.97
1009,6.57
1010,22.76
1011,31.22
1012,16.68
1013,19.08
1014,3.79
1015,6.22
1016,20.58
1017,10.62
1018,14.21
1019,71.52
1020,2.4299999999999997
1021,1.54
1022,12.96
1023,9.64
1024,36.61
1025,7.19
1026,4.9399999999999995
1027,3.78
1028,1.01
1029,19.6
1030,4.34
1031,4.96
1032,12.59
1033,4.32
1034,5.17
1035,14.95
1036,7.93
1037,8.55
1038,4.859999999999999
1039,33.19
1040,5.95
1041,1.5
1042,14.2
1043,4.779999999999999
1044,9.3
1045,1.6600000000000001
1046,7.92
1047,10.44
1048,3.53
1049,10.34
1050,22.94
1051,1.3599999999999999
1052,6.24
1053,9.81
1054,24.53
1055,74.34
1056,8.1
1057,8.559999999999999
1058,16.35
1059,9.45
1060,10.97
1061,13.21
1062,19.42
1063,2.05
1064,4.5
1065,35.11
1066,17.28
1067,6.76
1068,7.08
1069,3.96
1070,7.29
1071,5.84
1072,6.5
1073,7.48
1074,20.41
1075,5.31
1076,3.24
1077,3.97
1078,45.4
1079,6.84
1080,6.96
1081,3.6
1082,20.32
1083,6.93
1084,57.84
1085,9.9
1086,8.73
1087,9.05
1088,221.67
1089,4.24
1090,20.58
1091,7.83
1092,6.39
1093,17.89
1094,17.37
1095,3.16
1096,22.67
1097,6.19
1098,5.58
1099,19.24
1100,7.3
1101,75.06
1102,3.33
1103,15.72
1104,18.82
1105,4.96
